ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
002218.SZ,20210506,4.28,0.5674,1.0112,0.74,1.6725,3.8893,3.4388,123634.2104,121571.9804,68216.0426,529154.4205,520328.0761
002218.SZ,20210430,4.23,1.0273,1.8309,1.4,1.653,3.8439,3.3986,123634.2104,121571.9804,68216.0426,522972.71,514249.4771
002218.SZ,20210429,4.31,0.6782,1.2086,0.85,1.6842,3.9166,3.4629,123634.2104,121571.9804,68216.0426,532863.4468,523975.2355
002218.SZ,20210428,4.38,0.5516,0.9831,0.59,1.7503,3.9802,3.9802,123634.2104,121571.9804,68216.0426,541517.8416,532485.2742
002218.SZ,20210427,4.35,0.8335,1.4854,0.85,1.7384,3.9529,3.9529,123634.2104,121571.9804,68216.0426,537808.8152,528838.1147
002218.SZ,20210426,4.4,0.759,1.3526,0.72,1.7583,3.9984,3.9984,123634.2104,121571.9804,68216.0426,543990.5258,534916.7138
002218.SZ,20210423,4.37,0.8369,1.4915,0.78,1.7463,3.9711,3.9711,123634.2104,121571.9804,68216.0426,540281.4994,531269.5543
002218.SZ,20210422,4.44,1.0205,1.8186,0.96,1.7743,4.0347,4.0347,123634.2104,121571.9804,68216.0426,548935.8942,539779.593
002218.SZ,20210421,4.48,1.2151,2.1655,1.28,1.7903,4.0711,4.0711,123634.2104,121571.9804,68216.0426,553881.2626,544642.4722
002218.SZ,20210420,4.59,1.1003,1.9609999999999999,1.09,1.8343,4.171,4.171,123634.2104,121571.9804,68216.0426,567481.0257,558015.39
002218.SZ,20210419,4.62,1.0676,1.9027,1.04,1.8463,4.1983,4.1983,123634.2104,121571.9804,68216.0426,571190.052,561662.5494
002218.SZ,20210416,4.56,0.9784,1.7437,0.84,1.8223,4.1438,4.1438,123634.2104,121571.9804,68216.0426,563771.9994,554368.2306
002218.SZ,20210415,4.49,0.9503,1.6936,0.72,1.7911,5.2673,4.0771,123634.2104,121571.9804,68216.0426,555117.6047,545858.192
002218.SZ,20210414,4.53,0.6367,1.1346,0.43,1.807,5.3142,4.1135,123634.2104,121571.9804,68216.0426,560062.9731,550721.0712
002218.SZ,20210413,4.51,1.3971,2.4899,0.9,1.7990000000000002,5.2908,4.0953,123634.2104,121571.9804,68216.0426,557590.2889,548289.6316
002218.SZ,20210412,4.66,1.18,2.1029,0.65,1.8589,5.4667,4.2315,123634.2104,121571.9804,68216.0426,576135.4205,566525.4287
002218.SZ,20210409,4.63,1.6586,2.9558,0.83,1.8469,5.4315,4.2043,123634.2104,121571.9804,68216.0426,572426.3942,562878.2693
002218.SZ,20210408,4.76,1.7544,3.1266,0.84,1.8988,5.5841,4.3223,123634.2104,121571.9804,68216.0426,588498.8415,578682.6267
002218.SZ,20210407,4.89,1.4893,2.6541,0.65,1.9506,5.7366,4.4403,123634.2104,121571.9804,68216.0426,604571.2889,594486.9842
002218.SZ,20210406,4.86,1.6969,3.0241,0.62,1.9387,5.7014,4.4131,123634.2104,121571.9804,68216.0426,600862.2625,590839.8247
002218.SZ,20210402,4.79,2.4618,4.3874,0.76,1.9107,5.6192,4.3495,123634.2104,121571.9804,68216.0426,592207.8678,582329.7861
002218.SZ,20210401,4.91,2.5952,4.625,0.76,1.9586,5.76,4.4585,123634.2104,121571.9804,68216.0426,607043.9731,596918.4238
002218.SZ,20210331,4.87,2.2232,3.9621,0.61,1.9426,5.7131,4.4222,123634.2104,121571.9804,68216.0426,602098.6046,592055.5445
002218.SZ,20210330,4.96,2.4512,4.3684,0.59,1.9785,5.8187,4.5039,123634.2104,121571.9804,68216.0426,613225.6836,602997.0228
002218.SZ,20210329,5.12,3.8674,6.8924,0.83,2.0424,6.0064,4.6492,123634.2104,121571.9804,68216.0426,633007.1572,622448.5396
002218.SZ,20210326,5.09,5.1457,9.1705,1.14,2.0304,5.9712,4.622,123634.2104,121571.9804,68216.0426,629298.1309,618801.3802
002218.SZ,20210325,4.75,3.2884,5.8604,0.71,1.8948,5.5723,4.3132,123634.2104,121571.9804,68216.0426,587262.4994,577466.9069
002218.SZ,20210324,5.02,3.4228,6.0999,0.74,2.0025,5.8891,4.5584,123634.2104,121571.9804,68216.0426,620643.7362,610291.3416
002218.SZ,20210323,4.99,5.0794,9.0524,1.12,1.9905,5.8539,4.5312,123634.2104,121571.9804,68216.0426,616934.7099,606644.1822
002218.SZ,20210322,5.25,6.4111,11.4255,1.48,2.0942,6.1589,4.7672,123634.2104,121571.9804,68216.0426,649079.6046,638252.8971
002218.SZ,20210319,4.96,4.2751,7.6189,0.89,1.9785,5.8187,4.5039,123634.2104,121571.9804,68216.0426,613225.6836,602997.0228
002218.SZ,20210318,5.03,4.0678,7.2495,0.78,2.0065,5.9008,4.5675,123634.2104,121571.9804,68216.0426,621880.0783,611507.0614
002218.SZ,20210317,4.92,3.234,5.7636,0.49,1.9626,5.7718,4.4676,123634.2104,121571.9804,68216.0426,608280.3152,598134.1436
002218.SZ,20210316,5.12,4.5915,8.1828,0.69,2.0424,6.0064,4.6492,123634.2104,121571.9804,68216.0426,633007.1572,622448.5396
002218.SZ,20210315,4.98,5.4681,9.745,0.91,1.9865,5.8421,4.5221,123634.2104,121571.9804,68216.0426,615698.3678,605428.4624
002218.SZ,20210312,5.07,6.7426,12.0165,1.39,2.0224,5.9477,4.6038,123634.2104,121571.9804,68216.0426,626825.4467,616369.9406
002218.SZ,20210311,4.89,6.1489,10.9583,1.55,1.9506,5.7366,4.4403,123634.2104,121571.9804,68216.0426,604571.2889,594486.9842
002218.SZ,20210310,4.8,9.8541,17.5616,4.38,1.9147,5.631,4.3586,123634.2104,121571.9804,68216.0426,593444.2099,583545.5059
002218.SZ,20210309,4.93,4.8811,8.699,3.05,1.9666,5.7835,4.4767,123634.2104,121571.9804,68216.0426,609516.6573,599349.8634
002218.SZ,20210308,4.48,2.3535,4.1944,1.72,1.7871,5.2556,4.0680000000000005,123634.2104,121571.9804,68216.0426,553881.2626,544642.4722
002218.SZ,20210305,4.38,1.0621,1.8928,0.78,1.7472,5.1383,3.9772,123634.2104,121571.9804,68216.0426,541517.8416,532485.2742
002218.SZ,20210304,4.38,1.7121,3.0512,1.28,1.7472,5.1383,3.9772,123634.2104,121571.9804,68216.0426,541517.8416,532485.2742
002218.SZ,20210303,4.51,1.2282,2.1888,0.88,1.7990000000000002,5.2908,4.0953,123634.2104,121571.9804,68216.0426,557590.2889,548289.6316
002218.SZ,20210302,4.48,1.6482,2.9374,1.12,1.7871,5.2556,4.0680000000000005,123634.2104,121571.9804,68216.0426,553881.2626,544642.4722
002218.SZ,20210301,4.45,1.1965,2.1324,0.73,1.7905,5.2204,4.1782,123634.2104,121571.9804,68216.0426,550172.2363,540995.3128
