ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
600710.SH,20210528,6.72,3.0381,7.4519,,16.0766,13.0884,1.6521,0.0891,0.076,1.5179,1.5179,130674.9434,130674.9434,53274.9146,878135.6196,878135.6196
600710.SH,20210527,6.66,2.6552,6.5129,0.91,15.933,12.9715,1.6373,0.0883,0.0753,1.5315,1.5315,130674.9434,130674.9434,53274.9146,870295.123,870295.123
600710.SH,20210526,6.81,3.4612,8.4897,1.19,16.2919,13.2636,1.6742,0.0903,0.077,1.4978,1.4978,130674.9434,130674.9434,53274.9146,889896.3646,889896.3646
600710.SH,20210525,6.56,2.2551,5.5315,0.81,15.6938,12.7767,1.6127,0.0869,0.0742,1.5549,1.5549,130674.9434,130674.9434,53274.9146,857227.6287,857227.6287
600710.SH,20210524,6.58,2.3745,5.8242,0.89,15.7417,12.8157,1.6177,0.0872,0.0744,1.5502,1.5502,130674.9434,130674.9434,53274.9146,859841.1276,859841.1276
600710.SH,20210521,6.72,3.609,8.8524,1.55,16.0766,13.0884,1.6521,0.0891,0.076,1.5179,1.5179,130674.9434,130674.9434,53274.9146,878135.6196,878135.6196
600710.SH,20210520,6.5,2.8209,6.9193,1.28,15.5503,12.6599,1.598,0.0862,0.0735,1.5692,1.5692,130674.9434,130674.9434,53274.9146,849387.1321,849387.1321
600710.SH,20210519,6.42,3.4345,8.4244,1.76,15.3589,12.5041,1.5783,0.0851,0.0726,1.5888,1.5888,130674.9434,130674.9434,53274.9146,838933.1366,838933.1366
600710.SH,20210518,6.17,1.7627,4.3237,0.82,14.7608,12.0171,1.5169,0.0818,0.0698,1.6532,1.6532,130674.9434,130674.9434,53274.9146,806264.4008,806264.4008
600710.SH,20210517,6.16,1.6946,4.1567,0.76,14.7369,11.9977,1.5144,0.0816,0.0697,1.6558,1.6558,130674.9434,130674.9434,53274.9146,804957.6513,804957.6513
600710.SH,20210514,6.28,1.8957,4.6498,0.79,15.0239,12.2314,1.5439,0.0832,0.071,1.6242,1.6242,130674.9434,130674.9434,53274.9146,820638.6446,820638.6446
600710.SH,20210513,6.32,2.2097,5.42,0.98,15.1196,12.3093,1.5537,0.0838,0.0715,1.6139,1.6139,130674.9434,130674.9434,53274.9146,825865.6423,825865.6423
600710.SH,20210512,6.25,2.2159,5.4351,1.02,14.9522,12.173,1.5365,0.0828,0.0707,1.632,1.632,130674.9434,130674.9434,53274.9146,816718.3963,816718.3963
600710.SH,20210511,6.34,2.7727,6.8011,1.32,15.1675,12.3482,1.5587,0.084,0.0717,1.6088,1.6088,130674.9434,130674.9434,53274.9146,828479.1412,828479.1412
600710.SH,20210510,6.15,2.1073,5.1688,1.03,14.7129,11.9782,1.5119,0.0815,0.0695,1.6585,1.6585,130674.9434,130674.9434,53274.9146,803650.9019,803650.9019
600710.SH,20210507,6.03,2.6282,6.4466,1.18,14.4259,11.7445,1.4824,0.0799,0.0682,1.6915,1.6915,130674.9434,130674.9434,53274.9146,787969.9087,787969.9087
600710.SH,20210506,5.89,1.5973,3.9179,0.63,14.0909,11.4718,1.448,0.0781,0.0666,1.7317,1.7317,130674.9434,130674.9434,53274.9146,769675.4166,769675.4166
600710.SH,20210430,5.82,1.7349,4.2555,0.59,13.9235,11.3355,1.4308,0.0771,0.0658,1.7526,1.7526,130674.9434,130674.9434,53274.9146,760528.1706,760528.1706
600710.SH,20210429,5.92,2.4307,5.9622,0.78,14.1627,11.5302,1.4554,0.0785,0.0669,1.723,1.723,130674.9434,130674.9434,53274.9146,773595.6649,773595.6649
600710.SH,20210428,6.11,1.8647,4.5738,0.54,14.6172,11.9003,1.5021,0.081,0.0691,1.6694,1.6694,130674.9434,130674.9434,53274.9146,798423.9042,798423.9042
600710.SH,20210427,6.08,3.543,8.6904,0.91,14.5455,14.5455,1.5221,0.0806,0.0806,1.6776,1.6776,130674.9434,130674.9434,53274.9146,794503.6559,794503.6559
600710.SH,20210426,6.47,3.013,7.3904,0.7,15.4785,15.4785,1.6197,0.0858,0.0858,1.5765,1.5765,130674.9434,130674.9434,53274.9146,845466.8838,845466.8838
